Amount (INR),Payment Mode,To/Received By,Sender A/C,Receiver A/C,Sender Location,Receiver Location,Transaction Date,Transaction Time,isFraud
232.88,Card,Zomato,ACC123456,ACC102350,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",10/12/2024,0:16,0
1375.84,NEFT,Electricity Board,ACC123456,ACC317130,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",12/29/2024,2:52,0
1555.25,NEFT,Zomato,ACC123456,ACC966643,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",4/4/2025,10:34,0
3664.15,Cash Deposit,Amazon India,ACC123456,ACC462094,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",5/26/2024,18:06,0
130.47,Wallet,Flipkart,ACC123456,ACC248871,"Bengaluru, Karnataka, 560001","Chennai, Tamil Nadu, 600001",11/26/2024,15:22,0
1340.01,Card,Jio,ACC123456,ACC591190,"Kolkata, West Bengal, 700001","
",12/3/2024,1:02,0
514.81,Cash Deposit,Jio,ACC123456,ACC258962,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",4/23/2023,22:17,0
140.42,NEFT,Swiggy,ACC123456,ACC753209,"Kolkata, West Bengal, 700001","
",1/17/2025,8:07,0
515.02,IMPS,Electricity Board,ACC123456,ACC643532,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",11/16/2023,0:49,0
8044.9,Unknown,Jio,ACC123456,ACC189092,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",1/9/2024,12:11,0
449.49,UPI,Electricity Board,ACC123456,ACC430254,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",2/25/2024,2:01,0
823.52,IMPS,Jio,ACC123456,ACC124817,"Kolkata, West Bengal, 700001","
",1/28/2024,7:15,0
524.02,NEFT,Ola,ACC123456,ACC340698,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",6/19/2024,21:26,0
632.09,IMPS,Local Kirana,ACC123456,ACC982266,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",3/9/2024,18:46,0
791.06,NEFT,Amazon India,ACC123456,ACC655026,"Chennai, Tamil Nadu, 600001","Ahmedabad, Gujarat, 380001",4/11/2025,10:54,0
107.19,NEFT,Airtel,ACC123456,ACC145808,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",1/30/2024,9:26,0
874.99,Cash Deposit,Zomato,ACC123456,ACC292493,"Kolkata, West Bengal, 700001","
",10/4/2023,22:55,0
904.11,IMPS,Zomato,ACC123456,ACC357437,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",5/14/2024,15:19,0
673.01,Wallet,Jio,ACC123456,ACC101801,"Pune, Maharashtra, 411001","
",2/14/2024,10:54,0
223.88,Card,LIC Insurance,ACC123456,ACC685693,"Mumbai, Maharashtra, 400001","Bengaluru, Karnataka, 560001",5/3/2024,21:05,0
2337.27,IMPS,Medical Store,ACC123456,ACC357404,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",5/9/2023,12:39,0
877.64,IMPS,PhonePe,ACC123456,ACC101508,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",3/9/2025,22:23,0
1033.17,IMPS,Jio,ACC123456,ACC152683,"Jaipur, Rajasthan, 302001","Delhi, Delhi, 110001",10/22/2024,8:12,0
3373.11,Card,PhonePe,ACC123456,ACC458564,"Pune, Maharashtra, 411001","
",10/27/2023,1:23,0
1065.94,Card,Jio,ACC123456,ACC742256,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",7/23/2024,12:30,0
855.68,Cash Deposit,HDFC Bank,ACC123456,ACC123404,"Kolkata, West Bengal, 700001","
",4/5/2025,17:32,0
683.1,Card,LIC Insurance,ACC123456,ACC475591,"Mumbai, Maharashtra, 400001","
",4/26/2024,17:10,0
27780.1,Unknown,Airtel,ACC123456,ACC905656,"Kolkata, West Bengal, 700001","
",9/13/2024,14:09,0
134.65,UPI,SBI,ACC123456,ACC767147,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",9/7/2023,7:55,0
152.89,IMPS,Amazon India,ACC123456,ACC957005,"Kolkata, West Bengal, 700001","
",9/14/2023,15:01,0
432.38,IMPS,Local Kirana,ACC123456,ACC540319,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",10/30/2024,2:17,0
471.27,Cash Deposit,Rent Transfer,ACC123456,ACC170023,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",10/18/2023,17:51,0
852.43,UPI,Jio,ACC123456,ACC726158,"Kolkata, West Bengal, 700001","
",1/15/2025,13:28,0
411.96,NEFT,School Fees,ACC123456,ACC231387,"Kolkata, West Bengal, 700001","
",7/31/2024,6:46,0
1027.56,Cash Deposit,Flipkart,ACC123456,ACC624594,"Kolkata, West Bengal, 700001","
",2/10/2024,2:41,0
1189.71,NEFT,Medical Store,ACC123456,ACC552546,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",12/11/2023,21:56,0
531.98,Cash Deposit,Zomato,ACC123456,ACC440844,"Kolkata, West Bengal, 700001","
",5/25/2024,7:47,0
19588.59,Card,Ola,ACC123456,ACC441813,"Kolkata, West Bengal, 700001","
",5/25/2024,16:22,0
611.91,IMPS,HDFC Bank,ACC123456,ACC884387,"Kolkata, West Bengal, 700001","
",5/20/2023,10:51,0
555.06,Wallet,Electricity Board,ACC123456,ACC827924,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",3/10/2024,5:34,0
1981.13,Wallet,HDFC Bank,ACC123456,ACC528673,"Kolkata, West Bengal, 700001","
",11/28/2024,17:51,0
92.99,Card,Big Bazaar,ACC123456,ACC202595,"Kolkata, West Bengal, 700001","
",7/25/2023,13:03,0
591.81,Cash Deposit,IRCTC,ACC123456,ACC389228,"Kolkata, West Bengal, 700001","
",6/9/2023,2:47,0
739.65,Card,IRCTC,ACC123456,ACC838306,"Mumbai, Maharashtra, 400001","Pune, Maharashtra, 411001",12/5/2024,1:10,0
921.09,UPI,Reliance Fresh,ACC123456,ACC261623,"Kolkata, West Bengal, 700001","
",7/11/2024,2:45,0
3123.63,Cash Deposit,Swiggy,ACC123456,ACC641368,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",4/2/2025,7:45,0
1742.07,Card,Reliance Fresh,ACC123456,ACC652711,"Kolkata, West Bengal, 700001","
",4/29/2023,9:55,0
538.35,Card,SBI,ACC123456,ACC536010,"Delhi, Delhi, 110001","Mumbai, Maharashtra, 400001",3/19/2024,1:48,0
1107.78,Cash Deposit,Big Bazaar,ACC123456,ACC501851,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",5/27/2024,20:37,0
1850.55,NEFT,Medical Store,ACC123456,ACC691395,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",10/1/2023,3:51,0
80.88,Cash Deposit,Ola,ACC123456,ACC246024,"Kolkata, West Bengal, 700001","
",8/21/2023,19:53,0
643.63,UPI,Big Bazaar,ACC123456,ACC838966,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",10/7/2024,22:37,0
48541.5,Wallet,Amazon India,ACC123456,ACC836304,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",10/6/2024,16:05,0
2128.82,Card,HDFC Bank,ACC123456,ACC513198,"Mumbai, Maharashtra, 400001","
",10/28/2023,17:17,0
409.08,UPI,Zomato,ACC123456,ACC247696,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",4/14/2024,7:53,0
1.31,IMPS,LIC Insurance,ACC123456,ACC112602,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",10/13/2024,14:52,0
1394.81,UPI,Swiggy,ACC123456,ACC546171,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",10/26/2024,14:48,0
1076.74,NEFT,PhonePe,ACC123456,ACC862977,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",6/20/2023,16:51,0
465.61,Cash Deposit,SBI,ACC123456,ACC245709,"Chennai, Tamil Nadu, 600001","Bengaluru, Karnataka, 560001",11/3/2023,1:09,0
594.26,Wallet,School Fees,ACC123456,ACC238888,"Kolkata, West Bengal, 700001","
",9/10/2023,4:33,0
2642.31,IMPS,Jio,ACC123456,ACC797867,"Kolkata, West Bengal, 700001","
",8/24/2024,15:05,0
2234.07,Wallet,Paytm Wallet,ACC123456,ACC666558,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",9/20/2024,4:02,0
1827.53,NEFT,HDFC Bank,ACC123456,ACC625816,"Kolkata, West Bengal, 700001","
",6/27/2024,0:21,0
3246.56,Card,Paytm Wallet,ACC123456,ACC201621,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",9/4/2024,20:04,0
537.29,Cash Deposit,Jio,ACC123456,ACC738764,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",3/8/2025,6:47,0
77.18,Wallet,HDFC Bank,ACC123456,ACC865963,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",5/25/2023,9:44,0
2519.68,UPI,LIC Insurance,ACC123456,ACC267563,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",10/30/2024,8:10,0
11640.3,Unknown,IRCTC,ACC123456,ACC622830,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",4/29/2023,0:57,0
218.77,IMPS,Reliance Fresh,ACC123456,ACC844114,"Kolkata, West Bengal, 700001","
",11/24/2024,11:54,0
1022.0,IMPS,IRCTC,ACC123456,ACC125984,"Kolkata, West Bengal, 700001","
",12/29/2023,23:34,0
1237.39,Cash Deposit,Swiggy,ACC123456,ACC428723,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",2/10/2025,21:34,0
288.28,NEFT,Big Bazaar,ACC123456,ACC877249,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",10/26/2024,5:05,0
273.27,Cash Deposit,HDFC Bank,ACC123456,ACC377730,"Pune, Maharashtra, 411001","
",5/23/2024,4:37,0
416.29,Wallet,School Fees,ACC123456,ACC509239,"Kolkata, West Bengal, 700001","
",2/11/2024,22:39,0
161.79,UPI,Reliance Fresh,ACC123456,ACC832174,"Mumbai, Maharashtra, 400001","
",7/15/2023,8:57,0
788.95,IMPS,Paytm Wallet,ACC123456,ACC922764,"Kolkata, West Bengal, 700001","
",10/12/2023,9:06,0
2622.59,UPI,LIC Insurance,ACC123456,ACC295229,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",7/18/2024,4:06,0
167.8,Card,Reliance Fresh,ACC123456,ACC125677,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",1/14/2025,22:09,0
806.66,NEFT,Ola,ACC123456,ACC745465,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",7/9/2024,17:15,0
1821.83,Cash Deposit,Jio,ACC123456,ACC572528,"Ahmedabad, Gujarat, 380001","Hyderabad, Telangana, 500001",5/16/2023,5:09,0
164.11,UPI,Local Kirana,ACC123456,ACC948339,"Kolkata, West Bengal, 700001","
",12/11/2023,1:03,0
1193.59,Cash Deposit,Jio,ACC123456,ACC825036,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",11/13/2023,3:30,0
2313.55,Card,Rent Transfer,ACC123456,ACC400626,"Kolkata, West Bengal, 700001","
",7/11/2023,23:26,0
276.11,IMPS,Jio,ACC123456,ACC367654,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",6/15/2024,4:39,0
544.32,UPI,PhonePe,ACC123456,ACC798722,"Kolkata, West Bengal, 700001","
",11/14/2024,23:28,0
1370.7,Unknown,Ola,ACC123456,ACC327374,"Lucknow, Uttar Pradesh, 226001","Hyderabad, Telangana, 500001",4/1/2024,23:16,0
175.81,Cash Deposit,Rent Transfer,ACC123456,ACC399056,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",1/13/2024,16:55,0
2047.0,Card,Reliance Fresh,ACC123456,ACC489093,"Kolkata, West Bengal, 700001","
",1/17/2024,14:52,0
971.77,NEFT,Flipkart,ACC123456,ACC986416,"Kolkata, West Bengal, 700001","
",12/24/2023,16:59,0
1392.14,UPI,LIC Insurance,ACC123456,ACC748814,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",10/5/2023,23:14,0
319.15,NEFT,LIC Insurance,ACC123456,ACC615637,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",3/12/2025,18:03,0
333.01,IMPS,SBI,ACC123456,ACC210673,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",4/28/2023,7:13,0
814.34,Card,HDFC Bank,ACC123456,ACC259223,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",2/16/2024,11:35,0
96.75,NEFT,HDFC Bank,ACC123456,ACC943469,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",2/19/2024,20:44,0
5.76,UPI,SBI,ACC123456,ACC518946,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",1/28/2025,0:11,0
628.18,Card,School Fees,ACC123456,ACC181052,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",10/3/2023,9:02,0
1156.51,Cash Deposit,Airtel,ACC123456,ACC300108,"Kolkata, West Bengal, 700001","
",4/4/2025,17:57,0
2825.33,Wallet,Medical Store,ACC123456,ACC124998,"Kolkata, West Bengal, 700001","
",10/5/2023,3:35,0
1389.84,Card,Ola,ACC123456,ACC695625,"Bengaluru, Karnataka, 560001","Mumbai, Maharashtra, 400001",10/3/2023,8:31,0
18.79,Cash Deposit,Ola,ACC123456,ACC628856,"Kolkata, West Bengal, 700001","
",4/10/2025,4:15,0
542.53,Card,Jio,ACC123456,ACC407386,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",6/19/2024,8:44,0
962.71,Wallet,IRCTC,ACC123456,ACC498011,"Kolkata, West Bengal, 700001","
",10/11/2024,6:50,0
441.46,IMPS,Airtel,ACC123456,ACC566557,"Lucknow, Uttar Pradesh, 226001","Kolkata, West Bengal, 700001",9/8/2023,5:49,0
152.82,NEFT,Rent Transfer,ACC123456,ACC386938,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",6/26/2024,7:06,0
749.77,Wallet,Airtel,ACC123456,ACC113201,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",5/12/2023,16:16,0
337.47,IMPS,School Fees,ACC123456,ACC517268,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",11/21/2023,6:32,0
1773.05,UPI,Flipkart,ACC123456,ACC601934,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",3/16/2024,5:33,0
718.38,Wallet,Jio,ACC123456,ACC204337,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",4/14/2023,16:30,0
168.34,IMPS,School Fees,ACC123456,ACC789972,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",10/19/2023,8:39,0
154.7,Wallet,Jio,ACC123456,ACC913774,"Mumbai, Maharashtra, 400001","Kolkata, West Bengal, 700001",1/28/2024,8:51,0
848.63,Cash Deposit,Jio,ACC123456,ACC774736,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",7/30/2024,8:08,0
786.29,Cash Deposit,School Fees,ACC123456,ACC250542,"Kolkata, West Bengal, 700001","
",6/1/2024,23:27,0
468.37,Card,Rent Transfer,ACC123456,ACC345718,"Chennai, Tamil Nadu, 600001","Kolkata, West Bengal, 700001",5/5/2023,3:51,0
706.48,UPI,Ola,ACC123456,ACC210214,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",2/4/2024,22:17,0
694.82,NEFT,HDFC Bank,ACC123456,ACC305870,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",5/20/2023,10:19,0
104.42,NEFT,Amazon India,ACC123456,ACC449055,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",2/18/2025,10:28,0
1439.93,IMPS,IRCTC,ACC123456,ACC205713,"Hyderabad, Telangana, 500001","Jaipur, Rajasthan, 302001",12/25/2024,13:44,0
1599.12,UPI,School Fees,ACC123456,ACC737628,"Kolkata, West Bengal, 700001","
",8/29/2024,16:27,0
997.01,NEFT,Amazon India,ACC123456,ACC736809,"Delhi, Delhi, 110001","Pune, Maharashtra, 411001",2/3/2025,15:08,0
987.0,NEFT,Medical Store,ACC123456,ACC632495,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",7/10/2024,7:19,0
1016.0,Wallet,HDFC Bank,ACC123456,ACC871104,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",12/21/2023,12:16,0
27.32,NEFT,IRCTC,ACC123456,ACC322708,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",12/12/2024,22:17,0
328.57,UPI,Ola,ACC123456,ACC290026,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",5/12/2023,15:29,0
225.68,Card,Reliance Fresh,ACC123456,ACC630172,"Lucknow, Uttar Pradesh, 226001","Hyderabad, Telangana, 500001",2/13/2025,21:38,0
2407.74,UPI,Flipkart,ACC123456,ACC177322,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",9/1/2024,16:46,0
551.36,Wallet,Reliance Fresh,ACC123456,ACC322050,"Pune, Maharashtra, 411001","Kolkata, West Bengal, 700001",5/1/2023,0:23,0
137.22,Card,Airtel,ACC123456,ACC710137,"Kolkata, West Bengal, 700001","
",6/11/2024,4:38,0
1067.12,UPI,Medical Store,ACC123456,ACC613678,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",6/21/2023,19:36,0
2566.29,Cash Deposit,Rent Transfer,ACC123456,ACC952429,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",6/7/2024,12:16,0
2332.04,UPI,PhonePe,ACC123456,ACC808425,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",6/27/2023,21:42,0
1391.75,IMPS,Paytm Wallet,ACC123456,ACC853810,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",6/9/2024,7:22,0
1859.92,NEFT,Amazon India,ACC123456,ACC899556,"Kolkata, West Bengal, 700001","
",8/28/2024,17:40,0
130.51,IMPS,Jio,ACC123456,ACC574307,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",4/9/2025,4:35,0
1053.32,IMPS,PhonePe,ACC123456,ACC488918,"Kolkata, West Bengal, 700001","
",12/26/2024,6:35,0
494.82,UPI,IRCTC,ACC123456,ACC823845,"Kolkata, West Bengal, 700001","
",9/20/2023,15:12,0
915.76,Card,SBI,ACC123456,ACC351268,"Kolkata, West Bengal, 700001","
",3/22/2024,17:18,0
883.46,IMPS,Paytm Wallet,ACC123456,ACC398418,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",3/4/2025,11:18,0
17.42,Card,Amazon India,ACC123456,ACC519580,"Kolkata, West Bengal, 700001","
",1/31/2024,1:11,0
240.18,NEFT,Rent Transfer,ACC123456,ACC135126,"Lucknow, Uttar Pradesh, 226001","Pune, Maharashtra, 411001",1/25/2024,14:07,0
975.05,Card,Local Kirana,ACC123456,ACC835810,"Hyderabad, Telangana, 500001","
",8/30/2023,14:16,0
515.7,IMPS,Big Bazaar,ACC123456,ACC609801,"Mumbai, Maharashtra, 400001","Hyderabad, Telangana, 500001",2/8/2024,21:05,0
131.66,Card,Big Bazaar,ACC123456,ACC661379,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",9/24/2024,22:41,0
2826.27,UPI,Jio,ACC123456,ACC591418,"Kolkata, West Bengal, 700001","
",9/6/2024,1:22,0
2526.58,Card,Amazon India,ACC123456,ACC763692,"Chennai, Tamil Nadu, 600001","
",6/23/2023,3:20,0
2161.67,IMPS,School Fees,ACC123456,ACC437914,"Kolkata, West Bengal, 700001","
",2/6/2025,19:15,0
168.14,Cash Deposit,Flipkart,ACC123456,ACC244104,"Kolkata, West Bengal, 700001","
",1/2/2024,17:05,0
2322.78,Wallet,Swiggy,ACC123456,ACC153618,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",1/5/2025,7:59,0
489.37,UPI,Electricity Board,ACC123456,ACC605638,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",9/20/2023,14:17,0
513.58,Card,Medical Store,ACC123456,ACC681307,"Kolkata, West Bengal, 700001","
",5/17/2024,20:23,0
1082.84,Card,LIC Insurance,ACC123456,ACC735699,"Kolkata, West Bengal, 700001","
",1/13/2025,7:41,0
1925.49,NEFT,Medical Store,ACC123456,ACC547239,"Ahmedabad, Gujarat, 380001","Kolkata, West Bengal, 700001",2/28/2024,14:04,0
1287.47,UPI,PhonePe,ACC123456,ACC676843,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",8/3/2024,9:33,0
144.6,Card,Local Kirana,ACC123456,ACC108785,"Kolkata, West Bengal, 700001","
",10/6/2023,13:18,0
219.67,Wallet,Ola,ACC123456,ACC459288,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",9/14/2023,11:10,0
823.5,IMPS,Reliance Fresh,ACC123456,ACC294815,"Kolkata, West Bengal, 700001","
",3/24/2025,11:30,0
2421.11,Card,LIC Insurance,ACC123456,ACC264845,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",10/8/2024,10:39,0
